1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thirunelveli City,13,0,78,78,7,71,0,0,0,0,0,0,67,0,0,0,250,242,109,112,21,0,0,8,8,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,1,0,0,5,0,0,0,0,3,0,0,427,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,361,175,186,34,8,26,32,42,1,1,1,0,0,0,0,0,471,6,0,0,0,6,52,0,0,0,0,0,46,6,58,0,90,0,0,275,22,228,25,0,0,18,0,0,0,7,13,5,0,34,0,442,52,1458
30,Thiruvallur,41,2,406,393,21,372,0,0,0,13,4,14,53,0,3,0,600,595,225,333,32,5,0,5,0,5,0,0,0,0,0,384,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,1520,0,0,0,0,0,76,0,4,0,0,0,0,3,0,1,2,29,7,30,0,0,0,0,1,1,0,13,90,262,127,135,137,36,101,0,29,0,3,3,0,0,0,1,0,432,0,0,0,0,0,68,0,0,0,0,0,68,0,68,0,85,0,0,954,0,934,20,0,0,0,0,0,0,0,0,13,0,162,0,1214,391,3715
31,Thiruvannamalai,54,3,404,404,55,349,0,0,0,0,1,4,60,0,0,0,771,748,281,440,24,3,0,23,14,9,0,0,0,0,0,0,4,1,3,0,0,0,3,0,0,0,21,2,0,2,0,0,2,6,11,0,0,0,0,0,0,16,2,0,1340,0,0,0,0,68,97,0,0,0,0,0,0,0,0,8,0,68,20,0,0,0,0,1,0,0,0,11,176,313,191,122,88,23,65,0,16,0,0,0,0,11,0,0,0,428,0,0,0,0,0,71,0,0,0,0,0,63,8,71,6,234,0,0,1112,17,913,182,0,0,0,0,0,4,7,10,23,0,251,0,1647,251,3913
32,Thiruvarur,25,0,159,159,13,146,0,0,0,0,0,8,50,0,1,0,818,803,357,388,57,1,0,15,8,5,0,0,0,2,0,0,10,8,2,0,0,0,2,0,0,0,15,1,0,1,0,0,1,9,3,0,1,0,0,0,0,3,0,0,1089,0,0,0,0,0,32,0,0,0,1,0,0,0,0,2,2,4,4,17,0,0,0,2,9,9,0,12,53,109,55,54,93,16,77,9,35,0,0,0,0,0,0,0,0,246,0,0,0,0,0,29,0,0,0,0,0,15,14,29,0,395,0,0,749,26,700,23,0,0,0,0,0,0,21,14,7,0,1,0,1187,602,3206
33,Thoothukudi,69,2,345,334,46,288,0,0,0,11,0,6,234,0,2,3,1730,1689,966,639,76,8,0,41,26,15,0,0,0,0,0,47,34,25,5,0,0,0,5,3,0,1,21,7,0,7,0,0,2,5,3,0,4,0,0,0,0,14,1,0,2508,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,305,465,227,238,235,45,190,183,116,0,4,4,0,5,0,4,0,1012,0,0,0,0,0,175,51,0,7,1,43,123,1,175,0,24,0,0,903,50,690,163,17,0,274,0,0,24,24,2,19,0,160,0,1447,29,5476
34,Tiruppur,29,3,652,636,65,571,0,0,0,16,1,4,14,0,1,2,762,754,387,329,19,19,0,8,8,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,1,1,13,0,0,0,0,0,1,8,0,0,4,0,0,0,0,0,0,0,1493,0,0,0,0,82,15,0,0,0,0,0,0,0,0,2,0,6,4,3,0,0,0,0,0,0,0,14,111,96,46,50,82,32,50,6,40,0,6,6,0,0,0,7,0,237,2,0,0,0,2,45,9,0,0,0,9,32,4,47,0,0,0,0,1737,28,1477,232,2,0,133,0,0,5,5,0,15,0,0,0,1897,49,3834
35,Tiruppur City,20,0,163,153,12,141,0,0,0,10,0,7,21,0,2,0,204,201,93,97,5,6,0,3,2,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,425,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,23,55,242,143,99,85,28,57,19,58,0,4,4,0,0,0,16,0,424,0,0,0,0,0,49,10,0,0,0,10,34,5,49,0,0,0,0,548,8,494,46,290,0,51,0,0,0,2,0,17,0,0,0,908,40,1901
36,Trichy,32,0,419,419,52,367,0,0,0,0,1,0,22,0,0,0,1228,1228,972,231,25,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,3,0,4,0,0,0,0,7,0,0,1740,0,0,0,0,0,55,0,0,0,0,9,4,0,0,0,0,12,11,19,0,0,0,0,0,0,0,0,55,155,58,97,98,30,68,66,41,0,0,0,0,0,0,0,0,360,0,0,0,0,0,42,0,0,0,0,0,35,7,42,0,412,0,0,1145,37,1101,7,0,0,409,0,0,0,5,0,9,0,0,0,1980,0,4177
37,Trichy City,15,0,141,134,0,134,0,0,0,7,0,14,22,0,5,0,1172,1162,951,181,28,2,0,10,2,5,1,0,0,2,0,0,6,6,0,0,0,0,0,0,0,0,9,2,0,2,0,0,4,2,0,0,1,4,0,0,0,4,0,0,1392,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,9,376,145,231,99,12,87,71,77,0,3,3,0,0,0,0,0,626,2,0,0,0,2,123,0,0,0,0,0,109,14,125,0,0,0,0,504,18,486,0,0,0,0,0,0,0,2,0,9,0,0,0,515,0,2667
38,Vellore,74,0,605,605,18,587,0,0,0,0,2,1,92,0,0,0,2109,2109,1011,1079,19,0,0,0,0,0,0,0,0,0,0,822,38,38,0,0,0,0,0,0,0,0,51,8,0,8,0,0,0,43,0,0,0,4,0,0,0,8,0,0,3806,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,540,355,185,163,60,103,0,32,0,5,5,0,59,0,3,0,802,8,0,0,0,8,81,0,0,0,0,0,81,0,89,0,0,0,0,2065,23,1996,46,0,0,2075,0,0,0,1,0,32,0,263,1,4437,2,9178
39,Villupuram,82,11,829,829,65,764,0,0,0,0,6,14,149,0,41,0,1569,1542,416,1126,0,0,0,27,11,16,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,302,16,0,16,0,0,0,270,10,0,6,0,0,0,0,25,0,0,3082,0,0,0,0,87,218,4,0,0,3,0,0,0,0,5,0,164,13,12,0,0,0,17,0,0,0,28,333,470,240,230,161,27,134,7,38,0,2,2,0,7,0,4,0,689,0,0,0,0,0,123,0,0,0,0,0,123,0,123,1,67,0,0,2913,18,2737,158,675,0,1303,0,0,4,27,0,26,0,79,0,5095,1174,10496
40,Virudhunagar,49,3,448,352,31,321,0,0,0,96,2,6,52,1,1,1,416,406,134,254,18,0,0,10,5,5,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,3,0,0,997,0,0,0,0,249,50,1,0,0,0,0,0,0,0,0,0,9,5,1,0,0,0,34,0,0,0,1,300,191,72,119,140,43,97,14,45,0,2,2,0,0,0,3,0,395,0,0,0,0,0,59,0,0,0,0,0,59,0,59,0,200,0,0,792,120,531,141,0,0,86,0,0,0,3,2,21,1,0,0,1105,909,3765
41,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
42,Other Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,1560,51,15817,15414,1362,14052,0,1,0,402,48,275,2460,3,128,22,41363,40723,22262,16139,1389,726,207,640,305,317,5,0,6,7,0,1873,744,615,69,8,1,0,60,24,13,23,1027,209,4,205,0,2,26,611,76,0,103,12,0,0,0,283,11,1,65678,3,3,0,3,3990,1935,15,33,2,50,107,50,13,0,105,25,587,219,289,0,0,3,437,67,65,2,326,6318,15422,5880,9542,4751,1134,3617,1239,1841,12,97,97,0,134,2,160,1,23659,53,1,0,0,52,3298,222,9,9,9,195,2752,324,3351,125,3954,0,0,50467,3172,37514,9781,1318,23,7904,7,15,139,402,579,984,16,4641,9,70583,9244,178836
State: Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cyberabad Commissionerate,77,10,833,730,124,606,0,0,0,103,32,82,112,0,24,17,2679,2594,252,2042,142,156,2,85,50,23,0,0,0,12,0,144,944,316,95,93,2,0,0,18,14,501,201,128,5,123,2,0,4,26,21,0,20,69,0,0,0,99,0,0,5323,0,0,0,0,7,18,0,0,0,4,1,0,2,0,3,0,2,2,1,0,0,0,3,19,18,1,26,70,2917,905,2012,816,195,621,68,262,17,20,20,0,1,3,202,1,4307,10,0,0,0,10,1916,434,71,28,15,320,1457,25,1926,0,152,0,396,2838,820,1763,255,6,1,22,26,10,34,70,2131,1562,1,212,334,7795,642,20063
2,Hyderabad Commissionerate,64,12,395,358,222,136,8,6,0,23,27,46,129,0,7,9,1898,1767,94,1250,69,261,93,131,91,15,1,1,6,17,0,54,376,202,54,24,9,7,14,9,8,103,341,305,105,200,0,0,3,10,1,0,22,14,7,0,0,59,4,6,3448,2,0,2,2,1,37,7,0,0,5,0,0,4,0,0,0,3,2,5,0,0,1,10,21,21,0,5,64,2509,889,1620,397,83,314,65,128,2,6,6,0,0,2,90,1,3200,9,0,0,0,9,1938,85,2,0,0,83,1519,334,1947,0,172,0,45,2576,451,1702,423,0,0,0,25,1,0,16,197,1278,0,235,160,4705,1096,14462
3,Karimnagar Commissionerate,19,3,188,4,4,0,0,0,0,184,6,41,27,0,0,0,1006,950,0,550,12,388,0,56,56,0,0,0,0,0,0,0,163,144,0,0,0,0,0,0,0,19,31,0,0,0,0,0,0,13,0,0,18,1,0,0,0,7,0,2,1494,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,237,57,180,145,26,119,7,18,0,1,1,0,0,0,16,0,424,1,0,0,0,1,394,25,0,25,0,0,369,0,395,0,0,0,0,75,75,0,0,0,0,5,0,0,0,9,175,241,0,11,2,518,881,3741
4,Khammam Commissionerate,30,3,333,327,28,299,0,1,0,5,5,30,39,0,23,0,714,683,36,616,25,6,0,31,21,9,1,0,0,0,0,42,214,102,47,0,0,0,47,2,3,60,98,72,0,72,0,0,0,5,1,0,20,1,0,0,0,12,0,0,1544,0,0,0,0,36,21,0,0,0,1,0,3,1,0,0,0,7,1,5,0,0,0,3,2,2,0,9,68,352,124,228,190,46,144,22,11,2,0,0,0,0,0,17,0,594,2,0,0,0,2,306,21,7,12,1,1,283,2,308,7,0,0,386,2365,1792,523,50,0,0,65,2,0,0,24,328,228,0,103,27,3535,192,6241
5,Nizamabad Commissionerate,27,6,242,233,20,213,0,2,6,1,6,21,21,0,10,7,540,489,14,418,53,4,0,51,21,29,0,0,0,1,0,71,82,29,20,0,0,0,20,2,2,29,20,7,0,7,1,0,1,2,3,0,6,0,0,0,0,4,0,0,1057,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,0,20,37,530,149,381,191,35,156,15,8,0,3,3,0,0,4,10,0,761,0,0,0,0,0,236,46,3,12,1,30,190,0,236,0,14,0,5,589,87,479,23,0,1,0,11,4,6,20,163,278,0,157,43,1291,125,3507
6,Rachakonda Commissionerate,69,14,676,676,676,0,0,0,0,0,30,31,94,0,0,0,1469,1393,0,1393,0,0,0,76,0,76,0,0,0,0,0,0,600,600,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,174,88,0,0,0,139,0,0,3384,0,0,0,0,0,68,0,0,0,0,0,0,10,0,0,0,58,0,0,0,0,0,0,0,0,0,0,68,1782,601,1181,924,182,742,0,219,0,16,16,0,0,0,109,0,3050,6,0,0,0,6,1526,0,0,0,0,0,1400,126,1532,0,0,0,0,1965,1965,0,0,0,0,0,0,0,0,0,0,946,0,0,82,2993,4206,15233
7,Ramagundam Commissionerate,41,8,280,279,31,248,0,0,0,1,7,38,77,0,20,2,1482,1240,3,774,61,402,0,242,41,62,0,0,0,139,0,62,169,70,15,0,0,0,15,11,8,65,36,25,0,25,0,1,0,7,3,0,0,0,5,0,0,19,1,1,2248,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,7,0,19,66,301,0,301,218,43,175,13,10,0,0,0,0,0,0,16,0,558,1,0,0,0,1,496,59,0,0,0,59,437,0,497,0,14,0,336,102,102,0,0,0,1,152,2,1,14,26,352,263,0,40,45,1348,286,5003
8,Siddipet Commissionerate,25,3,222,217,15,202,0,0,0,5,12,23,12,0,3,0,561,522,20,470,32,0,0,39,39,0,0,0,0,0,0,31,122,56,14,0,0,0,14,0,3,49,17,5,0,5,0,0,0,4,6,0,2,1,0,0,0,11,1,0,1044,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,25,34,147,44,103,124,31,93,3,10,0,1,1,0,0,0,4,0,289,1,0,0,0,1,150,5,0,0,0,5,130,15,151,0,0,0,0,333,70,178,85,0,0,8,0,0,0,4,157,208,0,15,15,740,393,2651
9,Warangal Commissionerate,51,8,417,404,14,390,0,2,0,11,29,52,59,1,1,0,1255,1181,12,1120,46,3,0,74,27,45,0,0,0,2,0,0,206,75,53,0,0,0,53,8,5,65,135,83,69,14,0,0,0,25,16,0,11,3,0,0,0,14,1,0,2232,0,0,0,0,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,58,269,91,178,173,34,139,1,15,0,2,2,0,0,0,8,0,468,1,0,0,0,1,462,18,0,18,0,0,444,0,463,0,0,0,0,765,125,445,195,0,0,0,0,0,0,34,0,387,0,13,76,1275,1688,6184
10,Adilabad,9,3,104,102,1,101,0,0,0,2,3,15,28,0,7,4,309,286,0,286,0,0,0,23,10,13,0,0,0,0,0,31,60,31,9,0,0,0,9,2,0,18,11,3,0,3,1,0,0,2,5,0,0,0,0,0,0,4,0,0,588,0,0,0,0,1,18,1,0,0,0,15,0,0,0,0,0,0,0,1,0,0,1,0,20,20,0,15,54,103,31,72,59,8,51,2,3,0,12,12,0,0,1,5,0,185,3,0,0,0,3,85,10,0,0,0,10,74,1,88,0,16,0,67,322,58,236,28,0,0,0,0,0,14,10,44,151,6,102,21,753,59,1727
11,Bhadradri Kothagudem,32,2,242,234,22,212,0,2,0,6,11,29,37,0,5,0,538,472,12,453,6,1,0,66,14,11,0,0,41,0,0,25,171,95,23,0,0,0,23,1,4,48,67,46,0,46,0,0,0,6,11,0,4,0,0,0,0,16,1,0,1176,0,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,11,4,7,0,0,0,6,1,1,0,5,63,183,27,156,122,23,99,12,5,0,1,1,0,0,0,10,0,333,1,0,0,0,1,120,0,0,0,0,0,106,14,121,0,5,0,16,1223,860,337,26,1,0,111,1,1,8,17,142,238,0,47,29,1839,330,3862
12,Jagityal,28,4,162,161,0,161,0,0,0,1,9,14,34,0,0,0,419,379,0,379,0,0,0,40,21,19,0,0,0,0,0,4,93,23,24,0,0,0,24,22,5,19,16,15,1,14,0,0,0,1,0,0,0,0,0,0,0,8,1,0,792,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,0,0,16,147,17,130,86,15,71,1,5,0,0,0,0,0,0,10,0,249,0,0,0,0,0,136,1,0,1,0,0,134,1,136,0,0,0,154,264,0,202,62,0,0,0,0,0,1,18,28,142,0,116,0,723,302,2218
13,Jayashankar Bhupalpalli,18,10,110,110,0,110,0,0,0,0,9,20,28,0,0,0,434,383,0,383,0,0,0,51,0,23,0,0,28,0,0,0,72,38,14,0,0,0,14,5,3,12,29,6,0,6,0,0,0,23,0,0,0,0,0,0,0,10,0,0,740,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,71,25,46,44,14,30,8,0,0,0,0,0,0,0,3,0,126,0,0,0,0,0,115,0,0,0,0,0,0,115,115,0,0,0,0,436,238,167,31,0,0,0,0,0,0,0,0,94,0,0,17,547,686,2227
14,Jogulamba Gadwal,7,3,99,98,0,98,0,0,0,1,0,17,7,0,4,0,303,291,1,270,10,10,0,12,3,5,0,0,3,1,0,0,60,24,20,0,0,0,20,2,2,12,24,8,0,8,0,0,0,9,0,0,7,0,0,0,0,4,0,0,528,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,9,13,244,26,218,58,20,38,0,5,0,1,1,0,0,0,5,0,313,0,0,0,0,0,250,24,0,0,0,24,205,21,250,3,5,0,13,281,43,227,11,0,0,0,0,0,3,10,86,39,0,4,10,454,91,1649
15,Kamareddy ,23,4,160,159,11,148,0,0,0,1,5,12,17,0,3,2,365,350,31,288,23,2,6,15,2,11,0,0,0,0,2,39,52,7,20,0,0,0,20,7,0,18,28,9,0,9,1,0,0,0,18,0,0,0,0,0,0,13,1,0,724,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,28,39,155,27,128,110,17,93,14,2,0,0,0,0,0,0,9,0,290,1,0,0,0,1,102,62,0,0,0,62,40,0,103,0,5,0,0,313,54,199,60,0,0,0,2,0,0,13,119,122,0,29,12,615,120,1891
16,Kumaram Bheem Asifabad,15,2,60,58,3,55,0,0,0,2,1,13,18,0,4,0,360,348,2,241,12,93,0,12,4,3,0,0,0,5,0,1,59,16,22,0,0,0,22,1,2,18,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,12,1,0,549,0,0,0,0,0,27,0,17,0,2,0,0,0,0,0,1,2,0,0,0,0,0,5,5,5,0,2,34,33,6,27,37,8,29,3,2,0,2,2,0,0,0,3,0,80,0,0,0,0,0,66,0,0,0,0,0,60,6,66,0,1,0,44,40,40,0,0,0,0,18,3,3,5,9,28,85,0,105,7,348,34,1111
17,Mahabubabad,19,2,143,136,1,135,0,1,0,6,5,21,18,0,6,0,448,428,0,406,17,5,0,20,0,20,0,0,0,0,0,0,82,40,14,0,0,0,14,2,0,26,16,6,0,6,0,0,0,4,6,0,0,0,0,0,0,6,3,1,770,0,0,0,0,0,58,0,0,1,1,0,0,0,0,0,0,18,5,0,0,0,8,25,0,0,0,0,58,100,52,48,99,24,75,10,6,0,1,1,0,0,0,32,0,248,0,0,0,0,0,179,0,0,0,0,0,179,0,179,0,0,0,325,180,32,127,21,0,0,0,0,0,0,14,80,85,0,5,12,701,419,2375
18,Mahabubnagar,27,2,267,267,29,238,0,0,0,0,4,21,20,0,4,3,833,798,39,406,0,353,0,35,3,15,0,0,0,17,0,43,135,45,55,0,12,0,43,13,3,19,69,16,12,4,0,0,0,42,11,0,0,0,0,0,0,15,1,0,1444,0,0,0,0,0,33,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,6,0,0,0,14,47,287,45,242,144,41,103,0,5,0,1,1,0,0,0,28,0,465,0,0,0,0,0,186,12,0,12,0,0,155,19,186,0,0,0,0,59,59,0,0,0,0,0,0,0,0,15,28,128,0,0,4,234,491,2867
19,Medak,25,8,153,153,153,0,0,0,0,0,3,2,15,0,1,0,301,265,0,265,0,0,0,36,9,0,0,0,27,0,0,0,45,7,18,0,3,6,9,1,3,16,17,1,0,1,0,0,0,14,2,0,0,0,0,0,0,2,2,0,574,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,10,99,0,99,96,19,77,1,3,0,0,0,0,0,0,9,0,208,1,0,0,0,1,83,0,0,0,0,0,83,0,84,0,2,0,0,196,0,196,0,0,0,0,0,1,0,11,0,145,0,0,9,364,371,1611
20,Nagarkurnool,23,7,482,482,32,450,0,0,0,0,7,16,29,0,2,0,423,412,0,412,0,0,0,11,7,4,0,0,0,0,0,0,118,118,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,0,0,1138,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,111,7,104,81,28,53,0,2,0,2,2,0,0,0,4,0,200,0,0,0,0,0,158,7,0,7,0,0,143,8,158,0,8,0,67,0,0,0,0,0,0,0,0,0,0,5,98,77,0,0,14,269,145,1913
21,Nalgonda,39,5,372,366,24,342,0,0,0,6,9,31,58,0,14,4,974,913,23,890,0,0,0,61,3,58,0,0,0,0,0,0,191,73,38,0,0,0,38,14,15,51,28,8,3,5,0,0,5,5,0,0,10,7,0,0,0,34,2,0,1768,1,0,1,1,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,15,53,179,49,130,151,47,104,2,30,0,0,0,0,0,0,15,0,377,1,0,0,0,1,311,0,0,0,0,0,301,10,312,0,0,0,2,597,8,340,249,0,0,1,0,0,0,28,125,304,0,0,108,1165,1172,4848
22,Nirmal,15,8,122,117,2,115,0,1,0,4,6,12,14,0,9,0,347,324,18,281,25,0,0,23,10,13,0,0,0,0,0,27,44,10,13,0,0,0,13,3,4,14,14,10,0,10,0,1,0,2,1,0,0,0,0,0,0,4,0,0,622,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,0,11,30,84,46,38,64,11,53,4,5,0,2,2,0,0,0,3,0,162,0,0,0,0,0,66,0,0,0,0,0,66,0,66,0,5,0,91,263,52,200,11,0,0,0,2,0,5,12,101,148,4,120,8,759,76,1715
23,Rajanna Siricilla,17,1,65,65,65,0,0,0,0,0,4,15,26,0,0,0,251,222,0,222,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0,69,0,0,0,0,0,0,0,0,0,0,0,4,0,0,452,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,91,21,70,95,17,78,0,11,0,0,0,0,0,0,6,0,203,0,0,0,0,0,128,0,0,0,0,0,128,0,128,0,0,0,0,125,0,125,0,0,0,0,0,0,0,0,0,71,0,0,0,196,683,1672
24,Sangareddy,37,13,341,341,60,281,0,0,0,0,14,16,45,0,4,2,520,507,107,360,32,6,2,13,9,4,0,0,0,0,0,12,104,60,11,0,0,0,11,6,7,20,18,5,5,0,0,0,0,0,4,0,9,0,0,0,0,6,1,0,1133,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,2,8,8,0,0,27,259,106,153,156,41,115,18,5,0,0,0,0,0,0,10,0,448,1,0,0,0,1,217,133,15,0,1,117,53,31,218,0,0,0,42,539,0,530,9,0,0,0,0,0,0,28,97,172,0,0,29,907,397,3130
25,Suryapet,25,2,233,228,30,198,0,5,0,0,2,18,48,0,16,2,956,848,4,791,31,22,0,108,60,10,0,0,0,38,0,43,154,58,42,0,0,0,42,1,5,48,43,38,0,38,0,0,0,4,0,0,1,0,0,0,0,22,16,1,1581,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,0,14,31,154,1,153,84,33,51,20,6,0,0,0,0,0,0,20,0,284,0,0,0,0,0,265,0,0,0,0,0,252,13,265,0,0,0,20,397,48,186,163,0,0,4,1,2,7,19,5,223,0,1,74,753,1215,4129
26,Vikarabad,21,4,138,134,16,118,0,0,0,4,4,15,24,0,10,1,335,319,10,283,20,6,0,16,5,10,1,0,0,0,0,24,51,26,14,0,0,0,14,1,0,10,31,17,0,17,0,0,0,14,0,0,0,0,0,0,0,8,2,0,668,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,6,10,10,0,10,31,78,11,67,65,14,51,2,2,0,1,1,0,0,0,4,0,152,0,0,0,0,0,106,19,0,0,0,19,79,8,106,0,77,0,0,145,14,125,6,0,0,2,3,0,9,10,34,153,0,44,21,498,100,1555
27,Wanaparthy,15,2,92,92,6,86,0,0,0,0,1,12,8,0,0,0,465,427,0,228,6,193,0,38,5,7,0,0,0,26,0,17,34,16,15,0,0,0,15,0,0,3,5,3,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,0,656,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,1,8,142,18,124,37,9,28,0,1,0,0,0,0,0,0,6,0,186,0,0,0,0,0,48,0,0,0,0,0,48,0,48,0,0,0,0,32,32,0,0,0,0,0,0,0,0,8,40,70,0,0,0,150,37,1085
28,Railway Police Secunderabad,7,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,12,11,0,11,0,0,0,1,1,0,0,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1004,0,1004,0,0,0,2,11,0,1,1,0,0,0,0,0,1018,0,0,0,0,0,102,0,0,0,0,0,102,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33,1188
,Total,805,149,6932,6531,1589,4942,9,20,6,366,251,664,1045,1,177,53,20197,18802,678,15488,622,1911,103,1395,512,514,3,1,105,258,2,670,4409,2281,658,117,34,13,494,131,96,1243,1560,887,200,687,5,3,13,239,109,0,304,184,12,0,0,552,38,11,37710,3,0,3,3,128,542,39,17,2,13,16,3,17,0,3,4,118,21,22,0,0,12,255,127,126,1,238,1035,12568,3375,9193,4766,1064,3702,293,790,21,73,73,0,1,10,654,2,19178,39,0,0,0,39,10147,961,98,115,18,730,8437,749,10186,10,476,0,2009,17020,7025,8287,1708,7,3,388,78,23,106,430,4558,7838,11,1359,1160,35476,16270,119858
