SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Uttar Dinajpur,2016,68,681,4,6,31,74,271,10,17,27,1,450,33,20,14,141,2,4,29,1673,14,52,9,411,0,293,0,24,15,0,239,8,3,1742,6366
31,Total District(s),,2044,11973,392,1058,1110,1646,6035,115,1320,472,276,19902,491,2691,1646,6893,797,327,523,18119,535,4177,449,19302,10,6378,7,53,748,1,11656,133,39,55251,176569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: A & N Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South Andaman,2016,10,6,1,1,18,0,15,0,0,5,48,52,0,7,4,67,1,0,5,21,0,21,0,5,0,17,0,0,0,0,165,0,0,98,567
2,North & Middle Andaman,2016,3,8,0,1,11,0,9,0,0,0,7,11,0,1,1,8,0,0,2,4,0,22,2,2,0,5,0,0,0,0,50,0,0,58,205
3,Nicobar,2016,1,1,0,0,1,0,2,0,0,0,3,1,0,0,0,1,0,0,2,2,0,3,0,0,0,1,0,0,0,0,6,0,0,6,30
4,Total District(s),,14,15,1,2,30,0,26,0,0,5,58,64,0,8,5,76,1,0,9,27,0,46,2,7,0,23,0,0,0,0,221,0,0,162,802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chandigarh,2016,26,40,6,4,68,4,180,5,0,54,141,918,0,40,22,188,0,0,8,41,4,76,13,122,0,132,0,0,2,0,300,1,8,593,2996
2,Total District(s),,26,40,6,4,68,4,180,5,0,54,141,918,0,40,22,188,0,0,8,41,4,76,13,122,0,132,0,0,2,0,300,1,8,593,2996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: D&N Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D&N Haveli,2016,5,2,0,0,14,0,10,3,0,1,22,29,0,9,6,13,0,0,2,13,0,1,1,6,0,48,0,0,2,0,30,0,0,27,244
2,Total District(s),,5,2,0,0,14,0,10,3,0,1,22,29,0,9,6,13,0,0,2,13,0,1,1,6,0,48,0,0,2,0,30,0,0,27,244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
